MeanSurfaceTemp,MeanSurfaceOxygen
24.8141947,213.9726017
27.6508827,205.1082499
13.01784633,272.7853298
16.04575432,260.8845138
26.37889908,208.040424
25.12153145,212.432571
23.53622905,229.8518049
26.01826153,208.7511668
26.70421717,207.2959042
28.1267529,201.8730601
25.25231282,210.1159089
21.1291912,228.9726148
13.00615077,268.366711
24.16147575,216.430304
23.04594598,220.6087729
23.54392804,218.6319663
26.31079381,208.0055108
24.80243648,214.8771681
18.57356944,234.5595099
19.03063248,238.8845004
22.19688756,225.1361424
17.46201,245.4895757
27.25024002,208.6977221
17.37123121,248.8739443
21.47849915,229.9589614
28.08906578,202.3462473
26.5710033,208.449063
17.05365624,245.3473708
14.69214417,261.3310602
15.45111813,256.4398642
15.97539696,253.3537033
17.88966257,241.969285
27.67767727,203.4238433
12.34980975,280.8635083
17.46276124,245.0589699
19.84315989,235.3552204
18.75315844,242.6523492
22.10159257,222.9953113
26.79088698,207.3104351
20.25300241,227.6227981
11.02911528,301.0308905
25.57926511,214.3827929
15.54265289,262.4040998
26.97350365,205.1346571
27.66795198,202.3206953
26.73491148,207.5446599
23.23925077,220.9816274
25.1906045,212.6693791
16.19755909,252.9060308
23.94348151,217.5572548
13.17575185,279.6081524
21.3759865,229.7734726
19.7210014,238.5546653
10.53535894,288.9537109
15.0259802,258.2199701
17.74540595,241.2359137
10.94650139,285.5054372
24.19397637,217.8766753
8.441673162,301.1148323
27.0791542,204.6624691
12.91444003,272.7876145
1.428789198,359.1745578
12.83142252,273.233653
5.259448872,323.2612404
18.08409146,243.0034743
8.290599917,302.7258501
26.177493,208.1786685
21.74383341,225.9461599
8.342627683,310.9334767
25.88001247,210.1805604
16.63043043,253.5475619
26.03199434,209.4356679
27.73762485,202.064288
15.44163717,254.0390969
10.97642016,288.2791428
24.03927014,217.2048862
24.51145804,215.1488711
26.222063,208.1308854
19.55745908,235.1437374
28.09004722,202.7164569
22.73713397,222.2735067
27.52582789,202.848166
25.192595,213.8280738
22.0481474,227.1702239
2.974423589,354.9324868
9.478589125,298.4966927
25.7219539,210.6771336
27.12598301,205.1297403
16.95618591,244.5426638
25.22716622,210.8806144
27.59742811,203.7472698
26.69823044,206.8657466
19.47037553,236.7007861
25.37617689,213.051351
20.76408015,230.3519568
16.74950207,248.4199322
24.44828133,214.4681144
27.36648539,204.7538629
27.1085411,205.1937236
24.81903283,215.9409172
16.03265376,251.2771918
27.95263592,202.8016391
6.559793682,314.9060771
28.20886122,201.4915695
26.54302103,207.6261643
14.47473525,267.1144056
24.23204561,215.38989
16.20889143,260.6362339
27.14980941,205.2235081
28.08486374,201.9523668
25.6169003,211.5375312
18.62334707,237.6315341
14.41589259,261.2653508
27.14566112,204.9241248
25.74581943,212.3006122
25.97214313,209.8275401
27.86446444,203.147548
18.61384352,239.4657523
15.0805732,260.8061954
28.47074239,202.066293
25.81004207,211.3360497
27.45227056,204.0371279
28.92422199,202.3527115
28.25746379,202.668607
27.74417573,202.9489782
24.73915625,213.5641066
11.8160391,289.6171614
26.18842381,206.6505607
23.1840371,220.9055684
28.1647859,202.3877239
10.05303746,282.954314
23.90019216,216.4818443
15.74717484,270.9597921
26.73403067,206.5787872
15.45916637,257.1432304
21.18251657,236.2095164
12.15426145,284.6624291
26.96480967,205.6923024
25.93388528,213.9302582
27.26629984,206.0457464
4.965252734,351.8635637
10.41603097,293.1390425
28.3183065,202.6931872
19.094101,237.5297642
26.24470635,208.1433112
27.76506799,200.7820498
19.34100273,231.0210313
20.83193454,230.5447185
15.47990129,256.5111564
10.11149988,291.6455012
18.85658362,239.2815467
20.53919276,228.0000152
28.20344798,202.4726376
23.28349121,226.1528123
12.71380084,269.7138137
25.68968774,209.8006496
24.04495505,215.8142644
16.6708686,249.7508956
25.32187227,211.6415174
18.74367393,239.3773544
28.082125,203.6170799
27.67490654,203.2633731
28.45959544,201.0323365
27.13726972,205.600128
27.70052498,202.5955072
25.47645318,211.0944054
15.86846913,257.1273743
24.95151961,212.8830977
24.95855369,213.3708701
24.35282585,216.6821624
23.56475184,218.5159046
14.3495912,265.0345917
25.02770116,212.8538678
